ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
7.67_499.3208n	517.3512924	pos	7.6707	3413.499207	2969.685025	3221.233323	2912.508765	2882.161698	2837.495668	2810.082435	2767.407772	2739.039202							
7.68_706.9502n	724.9731571	pos	7.681816667	20847.95433	18894.72696	20818.47927	20053.87925	18141.84106	18694.04097	19286.47327	19500.21567	18810.10317							
7.72_701.4524n	724.4727824	pos	7.724883333	48998.53209	50454.38089	50148.45673	48407.5317	44505.27842	45138.66567	45643.38623	45725.04799	44948.97465							
7.70_544.6711n	562.7043107	pos	7.703466667	6356.082807	6124.538089	6131.077046	5604.508931	5581.105206	5704.91178	5519.001584	5698.068846	5630.381436							
7.71_684.9276n	702.9613641	pos	7.713816667	5735.666589	5199.110771	5377.747404	5307.785546	4788.054827	5049.149011	5374.090695	5178.373632	4816.31828							
7.71_523.3585n	524.3658083	pos	7.713816667	568.0953928	428.5626725	678.2856139	617.5580771	545.3724248	669.6109218	736.0091189	623.3932085	647.6789314							
7.74_747.9576n	770.9788833	pos	7.735266667	4797.199778	3303.87933	4405.249196	4349.277458	4372.855812	4524.045574	5492.649476	5149.777136	4914.081884							
7.77_501.3383n	519.3666227	pos	7.7682	1527.549948	1457.495295	1494.841915	1578.080713	1378.146864	1474.58029	1574.95014	1603.800623	1423.00333							
7.71_745.4786n	768.4991726	pos	7.713816667	83181.64869	81091.28165	83667.04505	80212.09797	73676.84108	73841.68851	75486.13638	75788.118	74080.45404							
7.79_916.0805n	917.0877485	pos	7.78995	3348.681631	2868.385984	3407.676209	3415.656122	3377.816818	3216.259712	3280.51419	3145.815092	3403.622424							
7.81_465.8207n	932.6450159	pos	7.811716667	6037.58276	5539.971679	5966.702742	6004.235678	5405.678768	5597.10863	6097.960153	6082.389459	5642.249426							
7.86_828.0315n	851.0511053	pos	7.855316667	5435.24277	5043.743822	5387.604906	5327.193561	4855.108936	4908.177324	5131.517322	5284.258212	5162.371453							
7.95_788.9940n	807.0251826	pos	7.952883333	3180.139714	2732.852196	3250.951428	2971.158004	2957.652391	2847.294787	3045.377685	3202.03525	3150.48059							
7.96_766.9824n	785.0122473	pos	7.964266667	2231.702051	1932.877811	2248.933513	2265.614133	1996.007325	2047.286598	2070.017779	2215.015428	2095.471953							
7.94_615.0554n	633.0676827	pos	7.942416667	1239.367003	780.0451027	1115.661975	1076.948647	1039.124862	1288.190166	1330.850297	1523.066042	1352.906953							
7.95_653.7405n	618.726679	pos	7.952883333	831.9191672	537.1896674	824.9132993	890.6247732	843.7577305	993.0384186	1096.214146	1126.500264	1076.614832							
7.94_831.8518n	796.8379699	pos	7.942416667	638.9166105	369.5672576	727.1480634	494.1909058	384.5281297	449.677909	414.1689403	539.5006317	578.5606356							
7.96_635.7411n	600.7272524	pos	7.964266667	3448.503428	2644.054215	3543.353152	2898.539795	2619.071074	3074.957413	2808.377506	3051.057279	2938.081127							
7.95_594.7048n	612.7169624	pos	7.952883333	709.482445	323.4301454	661.5072612	830.4963726	848.9774183	1069.407886	1107.261781	1202.660456	1121.410244							
7.96_654.0866n	677.0933834	pos	7.964266667	900.963169	483.23845	982.0419022	919.8291121	899.364056	998.3536304	982.721508	1200.807369	1067.685372							
7.96_624.0556n	642.0676196	pos	7.964266667	1113.880192	520.8131219	1030.215277	982.6699107	1248.240237	1500.19944	1708.367652	1687.839129	1639.475886							
7.97_668.7619n	691.7684901	pos	7.97465	718.2442773	515.7168644	753.4945978	686.2943126	648.0767211	756.4785511	846.5611498	867.0050355	833.2775455							
7.96_674.0917n	639.077887	pos	7.964266667	1242.1557	792.67062	1339.30518	1367.307676	1059.711767	1420.281896	1460.088582	1631.37695	1347.62848							
7.97_665.0893n	630.0754257	pos	7.97465	13525.14161	12093.82564	13759.78639	12630.71094	11468.26113	12213.56657	12278.44155	12709.48083	12442.00753							
7.96_624.7357n	647.7435075	pos	7.964266667	1145.78689	777.7863931	1336.986091	1304.834953	1177.281518	1636.213041	1493.864975	1600.226195	1361.218989							
7.95_681.7619n	682.7691302	pos	7.952883333	1523.867477	1168.264553	1529.284125	1548.282536	1328.512018	1642.844858	1538.069462	1648.63265	1395.254449							
8.03_957.1349n	980.1241248	pos	8.028033333	13853.48406	15580.101	13651.53704	13958.42501	13141.75105	12657.82835	12572.86084	12564.33239	12419.38755							
8.02_278.3717n	279.3789472	pos	8.017433333	1640.603997	2870.993105	1254.112463	1976.406088	2326.421325	1270.083261	1568.958156	1241.888003	1496.3474							
8.17_780.4984n	781.5056526	pos	8.16615	70341.45195	69866.25677	70529.96144	66079.28336	62216.30571	61708.25565	61595.97321	62453.54864	62300.79086							
8.08_860.0375n	861.0447658	pos	8.080116667	16269.00337	12572.02169	15770.30216	16377.39963	15807.98196	16579.68989	17845.06306	18039.11984	17591.56924							
8.02_227.1920n	245.2257967	pos	8.017433333	4326.370377	9734.852411	4266.521876	5260.406802	5898.160992	4063.769572	4673.090432	4488.406306	4239.210759							
8.10_594.0446n	595.051886	pos	8.1014	3406.038526	2801.402427	3474.530919	2941.889974	3009.964434	2977.816464	3111.774947	3174.964855	3370.412136							
8.10_568.0182n	586.0516973	pos	8.1014	8481.464718	8442.840828	8782.789687	7717.061897	7278.365754	6822.88169	6851.484794	7053.89791	7100.336461							
8.04_904.0637n	905.0709718	pos	8.038066667	9514.681108	7140.020899	9233.216639	10016.2919	9581.960896	10035.09483	11230.66654	11163.40128	10437.67949							
8.12_856.2095n	857.2167983	pos	8.12305	1168.784158	974.0905019	1170.265007	950.8526465	572.7856214	757.8677285	654.3462781	692.8788639	714.9922617							
8.02_91.0671n	114.0907467	pos	8.017433333	522.8688184	1148.693331	472.6628237	70.0956192	788.1663834	158.2106303	49.262334	8.813584285	41.18304811							
8.18_596.8768n	614.9095055	pos	8.177383333	1640.024984	1497.258982	1591.74202	1615.280447	1566.221598	1528.397135	1673.44616	1590.200595	1635.245782							
8.20_574.8639n	592.8961811	pos	8.198883333	2607.112794	2507.737146	2524.427103	2549.461615	2346.19472	2363.511423	2523.973265	2484.22399	2562.300474							
8.21_262.2294n	280.2626706	pos	8.209133333	39731.39393	68751.06326	32443.20932	44810.38587	49573.03885	31808.75704	37991.69527	32322.92706	36920.22475							
8.22_552.8504n	570.8833336	pos	8.219983333	3438.787515	3231.089872	3218.911101	3280.034478	3097.421656	3115.563759	3224.81752	3225.004167	3166.5881							
8.24_530.3362n	548.3688162	pos	8.241183333	8739.150371	8823.53591	8432.395093	8567.054993	8052.790307	7914.667985	8333.042409	8010.696088	8397.237456							
8.29_801.9986n	820.0333375	pos	8.29425	6561.32313	5924.80893	6286.984558	6002.155352	5808.831818	5963.101659	5948.461541	6066.777503	6192.829984							
8.26_508.8243n	526.8575604	pos	8.2624	3737.237715	3800.727399	3951.850591	3757.92505	3502.679934	3445.430603	3552.004212	3472.272143	3548.081103							
8.28_576.3751n	594.408479	pos	8.28385	930.1984284	787.154023	801.5738636	895.5078872	1013.050423	953.1996983	1095.392146	968.9515541	1046.600797							
