ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
2.63_263.1465m/z	263.1465013	pos	2.63205	3692.068179	2085.738584	1797.766145	1498.022236	1137.516812	1265.852963	4890.587924	2385.597362	1918.335149	HMDB0000064	2M+H	C4H9N3O2	41.8	13.1	1.036925779	3-Hexenyl salicylic acid
3.69_257.1506m/z	257.1506352	neg	3.692316667	43.87560429	31.97052907	36.86830794	37.38508192	20.63779119	9.130441677	17.32299481	17.79055277	34.74393822	HMDB0000070	2M-H	C6H11NO2	38.5	0	-0.176371067	DG(8:0/13:0/0:0)
9.85_543.1350m/z	543.1350222	pos	9.851033333	20.27210291	63.09940501	30.37338257	79.9693949	118.4861389	126.8013944	18.48830087	51.71266781	53.32608563	HMDB0000071	2M+K	C10H12N4O4	37.4	0	0.306144159	Sandoricin
4.48_324.1921m/z	324.1920816	pos	4.478283333	23.07248485	27.06576658	35.23640176	33.61217315	31.04027427	34.57738005	21.55441452	28.81856645	40.45012336	HMDB0000073	2M+NH4	C8H11NO2	39.6	0	0.976074382	"LysoPC(18:3(6Z,9Z,12Z))"
4.23_305.1514m/z	305.1514377	neg	4.226116667	7.477018982	6.699590453	9.214019123	6.611928735	9.756659154	6.554114878	6.342411176	7.383023004	6.035732788	HMDB0000073	2M-H	C8H11NO2	37.6	0	2.472386826	LysoPC(18:0)
1.74_355.0761m/z	355.0761012	neg	1.739083333	19.82855493	21.72759639	15.09614563	12.43888703	0	0	34.39816366	15.51395215	14.4757254	HMDB0000078	2M-H	C5H10N2O3S	37.1	0	2.671528022	"Methyl 4,6-di-O-galloyl-beta-D-glucopyranoside"
3.17_521.9484m/z	521.948422	pos	3.1725	201.3800889	259.3251184	250.309979	271.1662697	274.3487181	260.057923	246.827447	212.2070804	218.8485952	HMDB0000082	M+K	C9H16N3O14P3	37	0	1.556713193	Bissulfine
1.18_257.1023n	280.0914843	pos	1.183083333	1163.07401	1221.116742	1075.441997	1075.494372	847.618751	870.0767847	1376.868604	1180.55521	1096.936984	HMDB0000086	"M+Na, M+K"	C8H20NO6P	43.5	26.9	-2.179658003	"9,12,15-Octadecatrien-1-ol"
1.24_266.0742m/z	266.0742352	pos	1.236316667	44.40202569	21.24479046	30.59444432	22.03216261	26.58009763	19.35989047	28.79287831	19.58428877	33.41407992	HMDB0000089	M+Na	C9H13N3O5	37.2	0	-2.081503946	"(-)-Epigallocatechin 3-gallate 7-glucoside 4""-glucuronide"
1.22_322.0439m/z	322.0439053	neg	1.219766667	0	5.233755812	12.25220093	14.37692765	7.163885458	7.897590396	16.61781585	14.86823666	14.53905278	HMDB0000095	M-H	C9H14N3O8P	37.1	0	-2.071740539	Nateglinide
